,Date,Day_demand,Night_demand,Solar_exposure,Production,day_net,Storage_level_end_of_day,Storage_level_end_of_night
0,2018-12-01,86867.5,68238.0,30.7,85346.0,-1521.5,34725103.0,34656865.0
1,2018-12-02,92708.75,71809.5,28.4,78952.0,-13756.75,34711347.25,34639537.75
2,2018-12-03,96971.75,63622.25,28.0,77840.0,-19131.75,34620406.0,34556783.75
3,2018-12-04,98099.5,60531.0,17.5,48650.0,-49449.5,34507334.25,34446803.25
4,2018-12-05,90492.25,58917.25,19.2,53376.0,-37116.25,34409687.0,34350769.75
5,2018-12-06,86169.25,58052.25,23.1,64217.99999999999,-21951.250000000007,34328818.5,34270766.25
6,2018-12-07,86568.0,56718.5,13.4,37252.0,-49316.0,34221450.25,34164731.75
7,2018-12-08,80473.0,56425.75,12.5,34750.0,-45723.0,34119008.75,34062583.0
8,2018-12-09,77873.0,56749.75,22.0,61159.99999999999,-16713.000000000007,34045870.0,33989120.25
9,2018-12-10,90045.5,59963.75,28.9,80342.0,-9703.5,33979416.75,33919453.0
10,2018-12-11,91503.25,61133.0,26.9,74782.0,-16721.25,33902731.75,33841598.75
11,2018-12-12,91400.0,61864.0,30.3,84234.0,-7166.0,33834432.75,33772568.75
12,2018-12-13,92642.0,62083.0,25.6,71168.0,-21474.0,33751094.75,33689011.75
13,2018-12-14,97003.5,62790.25,21.7,60325.99999999999,-36677.50000000001,33652334.25,33589544.0
14,2018-12-15,89952.25,61096.75,23.9,66442.0,-23510.25,33566033.75,33504937.0
15,2018-12-16,87906.5,58551.25,0.5,1390.0,-86516.5,33418420.5,33359869.25
16,2018-12-17,94128.0,62123.25,18.8,52264.0,-41864.0,33318005.25,33255882.0
17,2018-12-18,95329.5,64158.5,22.1,61437.99999999999,-33891.50000000001,33221990.5,33157832.0
18,2018-12-19,98136.25,64608.75,27.0,75060.0,-23076.25,33134755.75,33070147.0
19,2018-12-20,100899.0,67143.5,31.2,86736.0,-14163.0,33055984.0,32988840.5
20,2018-12-21,106394.25,65788.0,29.8,82844.0,-23550.25,32965290.25,32899502.25
21,2018-12-22,94985.0,59747.25,20.9,58101.99999999999,-36883.00000000001,32862619.25,32802872.0
22,2018-12-23,77794.25,57811.25,28.1,78118.0,323.75,32803195.75,32745384.5
23,2018-12-24,80218.0,53704.25,25.7,71446.0,-8772.0,32736612.5,32682908.25
24,2018-12-25,69640.25,51908.0,26.4,73392.0,3751.75,32686660.0,32634752.0
25,2018-12-26,71656.25,55788.75,29.5,82010.0,10353.75,32645105.75,32589317.0
26,2018-12-27,81049.75,58629.5,29.7,82566.0,1516.25,32590833.25,32532203.75
27,2018-12-28,83314.25,58633.0,28.6,79508.0,-3806.25,32528397.5,32469764.5
28,2018-12-29,80233.5,59632.75,29.8,82844.0,2610.5,32472375.0,32412742.25
29,2018-12-30,82141.0,59751.0,27.9,77562.0,-4579.0,32408163.25,32348412.25
30,2018-12-31,86378.75,59647.5,28.4,78952.0,-7426.75,32340985.5,32281338.0
31,2019-01-01,81552.25,59093.75,30.3,84234.0,2681.75,32284019.75,32224926.0
32,2019-01-02,89217.25,61073.25,28.3,78674.0,-10543.25,32214382.75,32153309.5
33,2019-01-03,90541.75,62844.5,18.8,52264.0,-38277.75,32115031.75,32052187.25
34,2019-01-04,90777.5,62004.25,28.9,80342.0,-10435.5,32041751.75,31979747.5
35,2019-01-05,86080.0,61238.0,26.4,73392.0,-12688.0,31967059.5,31905821.5
36,2019-01-06,85484.0,61776.25,24.7,68666.0,-16818.0,31889003.5,31827227.25
37,2019-01-07,95019.75,61487.0,13.6,37808.0,-57211.75,31770015.5,31708528.5
38,2019-01-08,89575.0,64452.0,16.7,46426.0,-43149.0,31665379.5,31600927.5
39,2019-01-09,92187.25,65506.0,14.8,41144.0,-51043.25,31549884.25,31484378.25
40,2019-01-10,91252.0,65098.0,19.4,53931.99999999999,-37320.00000000001,31447058.25,31381960.25
41,2019-01-11,89531.0,63118.5,27.9,77562.0,-11969.0,31369991.25,31306872.75
42,2019-01-12,79989.25,62237.25,29.8,82844.0,2854.75,31309727.5,31247490.25
43,2019-01-13,80440.25,63208.0,27.7,77006.0,-3434.25,31244056.0,31180848.0
44,2019-01-14,91596.75,65605.25,28.6,79508.0,-12088.75,31168759.25,31103154.0
45,2019-01-15,93123.75,66572.25,27.9,77562.0,-15561.75,31087592.25,31021020.0
46,2019-01-16,94882.25,67570.25,30.9,85902.0,-8980.25,31012039.75,30944469.5
47,2019-01-17,94225.25,67121.25,28.5,79230.0,-14995.25,30929474.25,30862353.0
48,2019-01-18,94015.0,66800.0,27.5,76450.0,-17565.0,30844788.0,30777988.0
49,2019-01-19,87321.0,66212.75,26.2,72836.0,-14485.0,30763503.0,30697290.25
50,2019-01-20,85907.75,67018.5,27.5,76450.0,-9457.75,30687832.5,30620814.0
51,2019-01-21,98492.25,68412.25,26.1,72558.0,-25934.25,30594879.75,30526467.5
52,2019-01-22,98294.5,69475.25,26.4,73392.0,-24902.5,30501565.0,30432089.75
53,2019-01-23,100130.75,69552.75,28.2,78396.0,-21734.75,30410355.0,30340802.25
54,2019-01-24,100592.0,71250.0,29.4,81732.0,-18860.0,30321942.25,30250692.25
55,2019-01-25,101573.25,69662.5,25.2,70056.0,-31517.25,30219175.0,30149512.5
56,2019-01-26,88296.75,65487.25,26.6,73948.0,-14348.75,30135163.75,30069676.5
57,2019-01-27,84695.75,65877.5,29.7,82566.0,-2129.75,30067546.75,30001669.25
58,2019-01-28,88108.0,67236.75,28.9,80342.0,-7766.0,29993903.25,29926666.5
59,2019-01-29,97558.75,68190.75,26.6,73948.0,-23610.75,29903055.75,29834865.0
60,2019-01-30,98011.0,68129.5,25.2,70056.0,-27955.0,29806910.0,29738780.5
